,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
512,Mumbai Indians,2020/11/03,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,KH Pandya,SS Tiwary,KA Pollard,NM Coulter-Nile,JL Pattinson,DS Kulkarni,RD Chahar
513,Sunrisers Hyderabad,2020/11/03,DA Warner,WP Saha,MK Pandey,KS Williamson,PK Garg,JO Holder,Abdul Samad,Rashid Khan,S Nadeem,Sandeep Sharma,T Natarajan
514,Rajasthan Royals,2011/04/29,SR Watson,R Dravid,J Botha,LRPL Taylor,AL Menaria,AM Rahane,A Singh,DH Yagnik,SK Warne,STR Binny,SK Trivedi
515,Mumbai Indians,2011/04/29,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,A Symonds,KA Pollard,R Sathish,Harbhajan Singh,SL Malinga,AG Murtaza,MM Patel
516,Rajasthan Royals,2012/04/06,R Dravid,AM Rahane,AL Menaria,BJ Hodge,OA Shah,KK Cooper,J Botha,AA Chavan,SP Goswami,A Singh,SK Trivedi
517,Kings XI Punjab,2012/04/06,AC Gilchrist,PC Valthaty,SE Marsh,AM Nayar,DJ Hussey,Mandeep Singh,Bipul Sharma,PP Chawla,JP Faulkner,P Kumar,Harmeet Singh
518,Kolkata Knight Riders,2019/04/09,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,Shubman Gill,AD Russell,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,HF Gurney
519,Chennai Super Kings,2019/04/09,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,SC Kuggeleijn,RA Jadeja,Harbhajan Singh,DL Chahar,Imran Tahir
520,Delhi Daredevils,2009/05/22,G Gambhir,DA Warner,V Sehwag,TM Dilshan,AB de Villiers,KD Karthik,R Bhatia,A Mishra,PJ Sangwan,DP Nannes,A Nehra
521,Deccan Chargers,2009/05/22,AC Gilchrist,HH Gibbs,AA Bilakhia,TL Suman,A Symonds,RG Sharma,Y Venugopal Rao,RJ Harris,PP Ojha,Harmeet Singh,RP Singh
522,Delhi Daredevils,2015/05/12,Q de Kock,SS Iyer,JP Duminy,Yuvraj Singh,JA Morkel,KM Jadhav,SS Tiwary,J Yadav,GS Sandhu,Z Khan,S Nadeem
523,Chennai Super Kings,2015/05/12,DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,DJ Bravo,P Negi,RA Jadeja,R Ashwin,MM Sharma,IC Pandey
524,Kings XI Punjab,2015/05/03,M Vijay,V Sehwag,GJ Maxwell,DA Miller,GJ Bailey,WP Saha,AR Patel,MG Johnson,Anureet Singh,Sandeep Sharma,Karanveer Singh
525,Mumbai Indians,2015/05/03,LMP Simmons,PA Patel,RG Sharma,KA Pollard,AT Rayudu,UBT Chand,Harbhajan Singh,J Suchith,R Vinay Kumar,MJ McClenaghan,SL Malinga
526,Kolkata Knight Riders,2010/04/01,SC Ganguly,CH Gayle,CA Pujara,MK Tiwary,DJ Hussey,AD Mathews,WP Saha,AB Agarkar,M Kartik,SE Bond,MB Parmar
527,Deccan Chargers,2010/04/01,HH Gibbs,AC Gilchrist,MD Mishra,A Symonds,RG Sharma,TL Suman,Y Venugopal Rao,Jaskaran Singh,KAJ Roach,Harmeet Singh,PP Ojha
528,Mumbai Indians,2008/05/16,ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely,DJ Bravo,AM Nayar,SM Pollock,RV Pawar,YV Takawale,RR Raje,A Nehra
529,Kolkata Knight Riders,2008/05/16,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,Mohammad Hafeez,WP Saha,LR Shukla,AB Agarkar,Shoaib Akhtar,I Sharma,AB Dinda
530,Mumbai Indians,2015/05/14,LMP Simmons,PA Patel,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,Harbhajan Singh,J Suchith,MJ McClenaghan,R Vinay Kumar,SL Malinga
531,Kolkata Knight Riders,2015/05/14,RV Uthappa,G Gambhir,MK Pandey,YK Pathan,Shakib Al Hasan,AD Russell,SA Yadav,PP Chawla,UT Yadav,M Morkel,SP Narine
532,Chennai Super Kings,2013/04/06,MEK Hussey,M Vijay,SK Raina,DJ Bravo,S Badrinath,MS Dhoni,RA Jadeja,R Ashwin,B Laughlin,AS Rajpoot,DP Nannes
533,Mumbai Indians,2013/04/06,RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,KA Pollard,DR Smith,Harbhajan Singh,MG Johnson,MM Patel,PP Ojha
534,Pune Warriors,2013/05/11,RV Uthappa,AJ Finch,MK Pandey,Yuvraj Singh,AD Mathews,AM Nayar,KW Richardson,Parvez Rasool,B Kumar,AB Dinda,BAW Mendis
535,Mumbai Indians,2013/05/11,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,GJ Maxwell,Harbhajan Singh,MG Johnson,SL Malinga,PP Ojha,AN Ahmed
536,Rajasthan Royals,2012/05/01,R Dravid,AM Rahane,SR Watson,OA Shah,BJ Hodge,AL Menaria,SP Goswami,AA Chavan,GB Hogg,A Singh,Pankaj Singh
537,Delhi Daredevils,2012/05/01,DPMD Jayawardene,V Sehwag,KP Pietersen,LRPL Taylor,Y Nagar,NV Ojha,IK Pathan,P Negi,M Morkel,S Nadeem,UT Yadav
538,Chennai Super Kings,2018/05/11,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DJ Willey,Harbhajan Singh,SN Thakur,KV Sharma
539,Rajasthan Royals,2018/05/11,JC Buttler,BA Stokes,AM Rahane,SV Samson,P Chopra,STR Binny,K Gowtham,JC Archer,Ankit Sharma,JD Unadkat,IS Sodhi
540,Delhi Daredevils,2009/05/05,G Gambhir,DA Warner,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,R Bhatia,A Mishra,PJ Sangwan,A Nehra,DP Nannes
541,Kolkata Knight Riders,2009/05/05,MN van Wyk,BB McCullum,BJ Hodge,MC Henriques,WP Saha,SC Ganguly,Yashpal Singh,AB Agarkar,M Kartik,I Sharma,AB Dinda
