,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
0,Chennai Super Kings,2022/05/08,RD Gaikwad,DP Conway,S Dube,AT Rayudu,MS Dhoni,MM Ali,RV Uthappa,DJ Bravo,Simarjeet Singh,M Theekshana,Mukesh Choudhary
1,Delhi Capitals,2022/05/08,DA Warner,KS Bharat,MR Marsh,RR Pant,R Powell,RV Patel,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed
2,Royal Challengers Bangalore,2014/04/24,PA Patel,YV Takawale,V Kohli,Yuvraj Singh,AB de Villiers,JA Morkel,MA Starc,AB Dinda,YS Chahal,VR Aaron,M Muralitharan
3,Kolkata Knight Riders,2014/04/24,JH Kallis,G Gambhir,MK Pandey,CA Lynn,YK Pathan,RV Uthappa,SA Yadav,R Vinay Kumar,SP Narine,M Morkel,UT Yadav
4,Punjab Kings,2022/04/25,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Bairstow,JM Sharma,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
5,Chennai Super Kings,2022/04/25,RD Gaikwad,RV Uthappa,MJ Santner,S Dube,AT Rayudu,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,Mukesh Choudhary,M Theekshana
6,Gujarat Lions,2016/05/03,DR Smith,BB McCullum,AJ Finch,SK Raina,KD Karthik,RA Jadeja,JP Faulkner,Ishan Kishan,P Kumar,DS Kulkarni,S Kaushik
7,Delhi Daredevils,2016/05/03,Q de Kock,RR Pant,SV Samson,JP Duminy,KK Nair,SW Billings,CH Morris,A Mishra,Mohammed Shami,Z Khan,S Nadeem
8,Rajasthan Royals,2022/05/15,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Parag,JDS Neesham,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,OC McCoy
9,Lucknow Super Giants,2022/05/15,Q de Kock,KL Rahul,A Badoni,DJ Hooda,KH Pandya,MP Stoinis,JO Holder,PVD Chameera,Mohsin Khan (2),Avesh Khan,Ravi Bishnoi
10,Gujarat Lions,2016/05/21,AJ Finch,BB McCullum,SK Raina,KD Karthik,DR Smith,RA Jadeja,DJ Bravo,ER Dwivedi,SB Jakati,P Kumar,DS Kulkarni
11,Mumbai Indians,2016/05/21,RG Sharma,MJ Guptill,N Rana,KH Pandya,JC Buttler,KA Pollard,HH Pandya,Harbhajan Singh,R Vinay Kumar,MJ McClenaghan,JJ Bumrah
12,Rajasthan Royals,2014/05/19,KK Nair,UBT Chand,SR Watson,SV Samson,KK Cooper,Ankit Sharma,STR Binny,BJ Hodge,JP Faulkner,R Bhatia,DS Kulkarni
13,Mumbai Indians,2014/05/19,MEK Hussey,LMP Simmons,KA Pollard,RG Sharma,AT Rayudu,AP Tare,Harbhajan Singh,JJ Bumrah,K Santokie,PP Ojha,S Gopal
14,Kings XI Punjab,2011/04/21,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,AM Nayar,R McLaren,Sunny Singh,PP Chawla,RJ Harris,P Kumar,BA Bhatt
15,Rajasthan Royals,2011/04/21,SA Asnodkar,R Dravid,SR Watson,STR Binny,LRPL Taylor,AL Menaria,AS Raut,DH Yagnik,SK Warne,SW Tait,SK Trivedi
16,Chennai Super Kings,2013/04/25,MEK Hussey,M Vijay,SK Raina,MS Dhoni,DJ Bravo,RA Jadeja,CH Morris,S Badrinath,R Ashwin,JO Holder,MM Sharma
17,Sunrisers Hyderabad,2013/04/25,Q de Kock,S Dhawan,GH Vihari,CL White,A Mishra,X Thalaivan Sargunam,DJG Sammy,A Ashish Reddy,KV Sharma,DW Steyn,I Sharma
18,Deccan Chargers,2010/03/28,AC Gilchrist,MD Mishra,HH Gibbs,A Symonds,RG Sharma,TL Suman,Y Venugopal Rao,Jaskaran Singh,KAJ Roach,RP Singh,PP Ojha
19,Mumbai Indians,2010/03/28,S Dhawan,SR Tendulkar,DJ Bravo,SS Tiwary,AT Rayudu,R Sathish,KA Pollard,R McLaren,Harbhajan Singh,Z Khan,SL Malinga
20,Royal Challengers Bangalore,2009/04/26,JH Kallis,RV Uthappa,KP Pietersen,LRPL Taylor,V Kohli,MV Boucher,B Akhil,R Vinay Kumar,Pankaj Singh,A Kumble,KP Appanna
21,Delhi Daredevils,2009/04/26,G Gambhir,V Sehwag,TM Dilshan,AB de Villiers,KD Karthik,M Manhas,A Mishra,DL Vettori,DP Nannes,PJ Sangwan,A Nehra
22,Kolkata Knight Riders,2012/04/13,JH Kallis,G Gambhir,MS Bisla,MK Tiwary,Shakib Al Hasan,YK Pathan,RN ten Doeschate,DB Das,R Bhatia,L Balaji,SP Narine
23,Rajasthan Royals,2012/04/13,R Dravid,AM Rahane,AL Menaria,SP Goswami,OA Shah,BJ Hodge,J Botha,GB Hogg,AA Chavan,A Singh,SK Trivedi
24,Royal Challengers Bangalore,2016/05/02,KL Rahul,CH Gayle,V Kohli,AB de Villiers,SR Watson,Sachin Baby,STR Binny,VR Aaron,S Aravind,YS Chahal,T Shamsi
25,Kolkata Knight Riders,2016/05/02,RV Uthappa,G Gambhir,CA Lynn,MK Pandey,YK Pathan,AD Russell,SA Yadav,PP Chawla,UT Yadav,SP Narine,M Morkel
26,Kings XI Punjab,2009/04/26,RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,PP Chawla,WA Mota,RR Powar,VRV Singh,YA Abdulla
27,Rajasthan Royals,2009/04/26,SA Asnodkar,GC Smith,RJ Quiney,YK Pathan,AD Mascarenhas,RA Jadeja,AS Raut,SK Warne,M Rawat,MM Patel,Kamran Khan
28,Rajasthan Royals,2018/04/09,AM Rahane,DJM Short,SV Samson,BA Stokes,RA Tripathi,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin
29,Sunrisers Hyderabad,2018/04/09,WP Saha,S Dhawan,KS Williamson,MK Pandey,DJ Hooda,YK Pathan,Shakib Al Hasan,Rashid Khan,B Kumar,B Stanlake,S Kaul
30,Kolkata Knight Riders,2019/03/30,NS Naik,CA Lynn,RV Uthappa,N Rana,KD Karthik,Shubman Gill,AD Russell,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,LH Ferguson
31,Delhi Capitals,2019/03/30,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,GH Vihari,HV Patel,CH Morris,A Mishra,S Lamichhane,K Rabada
32,Rajasthan Royals,2015/04/24,AM Rahane,SR Watson,SPD Smith,KK Nair,DJ Hooda,SV Samson,STR Binny,JP Faulkner,CH Morris,DS Kulkarni,PV Tambe
33,Royal Challengers Bangalore,2015/04/24,CH Gayle,V Kohli,AB de Villiers,Mandeep Singh,KD Karthik,SN Khan,D Wiese,HV Patel,MA Starc,Iqbal Abdulla,YS Chahal
34,Chennai Super Kings,2022/04/12,RD Gaikwad,RV Uthappa,MM Ali,S Dube,RA Jadeja,MS Dhoni,AT Rayudu,DJ Bravo,CJ Jordan,M Theekshana,Mukesh Choudhary
35,Royal Challengers Bangalore,2022/04/12,F du Plessis,Anuj Rawat,V Kohli,GJ Maxwell,Shahbaz Ahmed,SS Prabhudessai,KD Karthik,PWH de Silva,Akash Deep,Mohammed Siraj,JR Hazlewood
36,Pune Warriors,2013/04/11,RV Uthappa,AJ Finch,LRPL Taylor,Yuvraj Singh,AD Mathews,TL Suman,AM Nayar,MR Marsh,B Kumar,R Sharma,AB Dinda
37,Rajasthan Royals,2013/04/11,MDKJ Perera,AM Rahane,R Dravid,STR Binny,BJ Hodge,DH Yagnik,JP Faulkner,KK Cooper,S Sreesanth,Harmeet Singh (2),SK Trivedi
38,Deccan Chargers,2010/03/21,MD Mishra,AC Gilchrist,HH Gibbs,A Symonds,RG Sharma,TL Suman,Y Venugopal Rao,WPUJC Vaas,R Sharma,PP Ojha,RP Singh
39,Delhi Daredevils,2010/03/21,DA Warner,V Sehwag,AB de Villiers,KD Karthik,M Manhas,MC Henriques,Y Nagar,A Mishra,UT Yadav,S Ladda,DP Nannes
40,Sunrisers Hyderabad,2019/03/31,JM Bairstow,DA Warner,V Shankar,YK Pathan,MK Pandey,DJ Hooda,Mohammad Nabi,Rashid Khan,B Kumar,Sandeep Sharma,S Kaul
41,Royal Challengers Bangalore,2019/03/31,PA Patel,SO Hetmyer,V Kohli,AB de Villiers,MM Ali,S Dube,C de Grandhomme,P Ray Barman,UT Yadav,Mohammed Siraj,YS Chahal
42,Punjab Kings,2022/04/13,MA Agarwal,S Dhawan,JM Bairstow,LS Livingstone,JM Sharma,M Shahrukh Khan,OF Smith,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
43,Mumbai Indians,2022/04/13,RG Sharma,Ishan Kishan,D Brevis,Tilak Varma,SA Yadav,KA Pollard,JD Unadkat,M Ashwin,JJ Bumrah,TS Mills,Basil Thampi
44,Rajasthan Royals,2022/04/22,JC Buttler,D Padikkal,SV Samson,SO Hetmyer,R Parag,KK Nair,R Ashwin,TA Boult,OC McCoy,M Prasidh Krishna,YS Chahal
45,Delhi Capitals,2022/04/22,PP Shaw,DA Warner,SN Khan,RR Pant,Lalit Yadav,AR Patel,SN Thakur,R Powell,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
46,Kolkata Knight Riders,2012/05/14,G Gambhir,BB McCullum,JH Kallis,MK Tiwary,YK Pathan,DB Das,LR Shukla,R Bhatia,SP Narine,L Balaji,M de Lange
47,Chennai Super Kings,2012/05/14,MEK Hussey,M Vijay,SK Raina,F du Plessis,MS Dhoni,DJ Bravo,RA Jadeja,S Anirudha,R Ashwin,BW Hilfenhaus,SB Jakati
48,Royal Challengers Bangalore,2013/04/04,CH Gayle,TM Dilshan,V Kohli,MA Agarwal,DT Christian,KK Nair,KB Arun Karthik,R Vinay Kumar,M Kartik,JD Unadkat,M Muralitharan
49,Mumbai Indians,2013/04/04,RT Ponting,SR Tendulkar,KD Karthik,RG Sharma,AT Rayudu,KA Pollard,Harbhajan Singh,JJ Bumrah,MG Johnson,JDP Oram,MM Patel
50,Royal Challengers Bangalore,2021/10/03,V Kohli,D Padikkal,DT Christian,GJ Maxwell,AB de Villiers,Shahbaz Ahmed,KS Bharat,GHS Garton,HV Patel,Mohammed Siraj,YS Chahal
51,Punjab Kings,2021/10/03,KL Rahul,MA Agarwal,N Pooran,AK Markram,SN Khan,M Shahrukh Khan,MC Henriques,Harpreet Brar,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
52,Royal Challengers Bangalore,2008/05/03,B Chipli,W Jaffer,V Kohli,JH Kallis,Misbah-ul-Haq,R Dravid,MV Boucher,P Kumar,Z Khan,DW Steyn,A Kumble
53,Deccan Chargers,2008/05/03,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,Shahid Afridi,SB Styris,AS Yadav,SB Bangar,RP Singh,DP Vijaykumar,PP Ojha
54,Chennai Super Kings,2015/04/11,DR Smith,BB McCullum,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,F du Plessis,R Ashwin,MM Sharma,IC Pandey,A Nehra
55,Sunrisers Hyderabad,2015/04/11,DA Warner,S Dhawan,KL Rahul,NV Ojha,RS Bopara,KS Williamson,KV Sharma,Parvez Rasool,B Kumar,I Sharma,TA Boult
56,Kings XI Punjab,2009/05/12,S Sohal,SM Katich,IK Pathan,KC Sangakkara,Yuvraj Singh,WA Mota,LA Pomersbach,K Goel,B Lee,PP Chawla,S Sreesanth
57,Mumbai Indians,2009/05/12,ST Jayasuriya,DJ Bravo,AM Rahane,SR Tendulkar,JP Duminy,AM Nayar,Harbhajan Singh,RR Raje,YV Takawale,DS Kulkarni,SL Malinga
58,Kochi Tuskers Kerala,2011/04/30,BB McCullum,M Klinger,PA Patel,DPMD Jayawardene,BJ Hodge,RA Jadeja,B Akhil,R Vinay Kumar,RR Powar,S Sreesanth,RP Singh
59,Delhi Daredevils,2011/04/30,DA Warner,V Sehwag,NV Ojha,Y Venugopal Rao,Y Nagar,TR Birt,IK Pathan,RE van der Merwe,M Morkel,AB Agarkar,UT Yadav
60,Chennai Super Kings,2008/05/31,PA Patel,S Vidyut,SK Raina,MS Dhoni,CK Kapugedera,S Badrinath,JA Morkel,MS Gony,L Balaji,M Muralitharan,M Ntini
61,Kings XI Punjab,2008/05/31,SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,IK Pathan,WA Mota,PP Chawla,RR Powar,S Sreesanth,VRV Singh
62,Delhi Capitals,2022/04/10,PP Shaw,DA Warner,RR Pant,Lalit Yadav,R Powell,AR Patel,SN Thakur,SN Khan,Kuldeep Yadav,Mustafizur Rahman,KK Ahmed
63,Kolkata Knight Riders,2022/04/10,AM Rahane,VR Iyer,SS Iyer,N Rana,AD Russell,SW Billings,PJ Cummins,SP Narine,UT Yadav,Rasikh Salam,CV Varun
64,Punjab Kings,2022/05/07,JM Bairstow,S Dhawan,PBB Rajapaksa,MA Agarwal,JM Sharma,LS Livingstone,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
65,Rajasthan Royals,2022/05/07,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,M Prasidh Krishna,YS Chahal,KR Sen
66,Mumbai Indians,2012/05/09,JEC Franklin,SR Tendulkar,RG Sharma,KD Karthik,AT Rayudu,DR Smith,KA Pollard,Harbhajan Singh,SL Malinga,PP Ojha,RP Singh
67,Royal Challengers Bangalore,2012/05/09,TM Dilshan,CH Gayle,V Kohli,AB de Villiers,MA Agarwal,SS Tiwary,J Syed Mohammad,R Vinay Kumar,Z Khan,HV Patel,M Muralitharan
68,Mumbai Indians,2021/04/23,Q de Kock,RG Sharma,Ishan Kishan,SA Yadav,KA Pollard,HH Pandya,KH Pandya,J Yadav,RD Chahar,JJ Bumrah,TA Boult
69,Punjab Kings,2021/04/23,KL Rahul,MA Agarwal,CH Gayle,DJ Hooda,N Pooran,MC Henriques,M Shahrukh Khan,FA Allen,Mohammed Shami,Ravi Bishnoi,Arshdeep Singh
70,Mumbai Indians,2017/05/11,LMP Simmons,PA Patel,N Rana,RG Sharma,KA Pollard,HH Pandya,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
71,Kings XI Punjab,2017/05/11,MJ Guptill,WP Saha,GJ Maxwell,SE Marsh,AR Patel,M Vohra,R Tewatia,MM Sharma,Sandeep Sharma,I Sharma,MJ Henry
72,Delhi Daredevils,2017/05/12,SV Samson,KK Nair,SS Iyer,RR Pant,MN Samuels,CJ Anderson,PJ Cummins,A Mishra,Mohammed Shami,S Nadeem,Z Khan
73,Rising Pune Supergiant,2017/05/12,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,BA Stokes,MS Dhoni,DT Christian,Washington Sundar,SN Thakur,JD Unadkat,A Zampa
74,Mumbai Indians,2011/05/07,AC Blizzard,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,A Symonds,TL Suman,DS Kulkarni,Harbhajan Singh,MM Patel,SL Malinga
75,Delhi Daredevils,2011/05/07,V Sehwag,DA Warner,CA Ingram,NV Ojha,Y Venugopal Rao,JR Hopes,IK Pathan,Y Nagar,AB Agarkar,M Morkel,S Nadeem
76,Sunrisers Hyderabad,2021/04/28,DA Warner,JM Bairstow,MK Pandey,KS Williamson,KM Jadhav,Rashid Khan,V Shankar,J Suchith,S Kaul,KK Ahmed,Sandeep Sharma
77,Chennai Super Kings,2021/04/28,RD Gaikwad,F du Plessis,MM Ali,RA Jadeja,SK Raina,AT Rayudu,MS Dhoni,SM Curran,SN Thakur,DL Chahar,L Ngidi
78,Delhi Daredevils,2014/04/17,MA Agarwal,M Vijay,KD Karthik,MK Tiwary,JP Duminy,LRPL Taylor,JDS Neesham,WD Parnell,S Nadeem,R Sharma,Mohammed Shami
79,Royal Challengers Bangalore,2014/04/17,PA Patel,NJ Maddinson,V Kohli,Yuvraj Singh,AB de Villiers,JA Morkel,S Rana,AB Dinda,MA Starc,YS Chahal,VR Aaron
80,Chennai Super Kings,2018/04/20,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DL Chahar,KV Sharma,SN Thakur,Imran Tahir
81,Rajasthan Royals,2018/04/20,AM Rahane,H Klaasen,SV Samson,BA Stokes,JC Buttler,RA Tripathi,STR Binny,K Gowtham,S Gopal,JD Unadkat,B Laughlin
82,Mumbai Indians,2013/04/29,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha
83,Kings XI Punjab,2013/04/29,Mandeep Singh,SE Marsh,M Vohra,DJ Hussey,DA Miller,Gurkeerat Singh,Azhar Mahmood,MS Gony,PP Chawla,P Kumar,P Awana
84,Rajasthan Royals,2019/04/11,AM Rahane,JC Buttler,SV Samson,SPD Smith,RA Tripathi,BA Stokes,R Parag,JC Archer,S Gopal,JD Unadkat,DS Kulkarni
85,Chennai Super Kings,2019/04/11,SR Watson,F du Plessis,SK Raina,AT Rayudu,KM Jadhav,MS Dhoni,RA Jadeja,MJ Santner,DL Chahar,SN Thakur,Imran Tahir
86,Kings XI Punjab,2011/05/15,PC Valthaty,AC Gilchrist,SE Marsh,KD Karthik,DJ Hussey,Mandeep Singh,RJ Harris,PP Chawla,SJ Srivastava,P Kumar,BA Bhatt
87,Delhi Daredevils,2011/05/15,NV Ojha,DA Warner,Y Venugopal Rao,S Sriram,IK Pathan,JR Hopes,TR Birt,Y Nagar,M Morkel,VR Aaron,AM Salvi
88,Kings XI Punjab,2019/04/01,KL Rahul,SM Curran,MA Agarwal,SN Khan,DA Miller,Mandeep Singh,GC Viljoen,R Ashwin,M Ashwin,Mohammed Shami,Mujeeb Ur Rahman
89,Delhi Capitals,2019/04/01,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,CH Morris,GH Vihari,HV Patel,K Rabada,Avesh Khan,S Lamichhane
90,Chennai Super Kings,2014/05/30,DR Smith,F du Plessis,SK Raina,BB McCullum,RA Jadeja,DJ Hussey,MS Dhoni,R Ashwin,MM Sharma,IC Pandey,A Nehra
91,Kings XI Punjab,2014/05/30,V Sehwag,M Vohra,GJ Maxwell,DA Miller,GJ Bailey,WP Saha,MG Johnson,AR Patel,Karanveer Singh,Sandeep Sharma,P Awana
92,Delhi Capitals,2020/11/08,MP Stoinis,S Dhawan,SS Iyer,SO Hetmyer,RR Pant,AM Rahane,P Dubey,AR Patel,R Ashwin,K Rabada,A Nortje
93,Sunrisers Hyderabad,2020/11/08,PK Garg,DA Warner,MK Pandey,KS Williamson,JO Holder,Abdul Samad,Rashid Khan,SP Goswami,S Nadeem,Sandeep Sharma,T Natarajan
94,Delhi Daredevils,2015/04/26,MA Agarwal,SS Iyer,JP Duminy,Yuvraj Singh,AD Mathews,KM Jadhav,NM Coulter-Nile,A Mishra,S Nadeem,Imran Tahir,DJ Muthuswami
95,Royal Challengers Bangalore,2015/04/26,CH Gayle,V Kohli,AB de Villiers,Mandeep Singh,KD Karthik,SN Khan,D Wiese,HV Patel,MA Starc,Iqbal Abdulla,VR Aaron
96,Kolkata Knight Riders,2019/04/25,CA Lynn,Shubman Gill,N Rana,KD Karthik,SP Narine,AD Russell,CR Brathwaite,RK Singh,PP Chawla,Y Prithvi Raj,M Prasidh Krishna
97,Rajasthan Royals,2019/04/25,AM Rahane,SV Samson,SPD Smith,BA Stokes,R Parag,STR Binny,S Gopal,JC Archer,JD Unadkat,VR Aaron,O Thomas
98,Delhi Daredevils,2011/04/10,DA Warner,V Sehwag,UBT Chand,AJ Finch,NV Ojha,Y Venugopal Rao,IK Pathan,RE van der Merwe,M Morkel,UT Yadav,AB Dinda
99,Mumbai Indians,2011/04/10,DJ Jacobs,SR Tendulkar,AT Rayudu,RG Sharma,KA Pollard,JEC Franklin,R Sathish,Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga
100,Rajasthan Royals,2013/04/08,SR Watson,AM Rahane,R Dravid,STR Binny,BJ Hodge,KK Cooper,DH Yagnik,S Sreesanth,SK Trivedi,SW Tait,R Shukla
101,Kolkata Knight Riders,2013/04/08,MS Bisla,G Gambhir,JH Kallis,MK Tiwary,EJG Morgan,YK Pathan,LR Shukla,R Bhatia,B Lee,Mohammed Shami,SP Narine
102,Kings XI Punjab,2018/04/23,KL Rahul,AJ Finch,MA Agarwal,KK Nair,Yuvraj Singh,DA Miller,R Ashwin,AJ Tye,BB Sran,AS Rajpoot,Mujeeb Ur Rahman
103,Delhi Daredevils,2018/04/23,PP Shaw,G Gambhir,GJ Maxwell,SS Iyer,RR Pant,DT Christian,R Tewatia,LE Plunkett,A Mishra,Avesh Khan,TA Boult
104,Deccan Chargers,2011/05/03,S Sohal,S Dhawan,KC Sangakkara,CL White,DT Christian,DB Ravi Teja,B Chipli,A Mishra,PP Ojha,I Sharma,DW Steyn
105,Kolkata Knight Riders,2011/05/03,EJG Morgan,JH Kallis,G Gambhir,YK Pathan,MK Tiwary,MV Boucher,R Bhatia,Iqbal Abdulla,L Balaji,B Lee,JD Unadkat
106,Mumbai Indians,2017/04/09,PA Patel,JC Buttler,N Rana,RG Sharma,KH Pandya,KA Pollard,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
107,Kolkata Knight Riders,2017/04/09,G Gambhir,CA Lynn,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,CR Woakes,SP Narine,Kuldeep Yadav,AS Rajpoot,TA Boult
108,Mumbai Indians,2013/05/05,DR Smith,SR Tendulkar,KD Karthik,KA Pollard,RG Sharma,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,PP Ojha,P Suyal
109,Chennai Super Kings,2013/05/05,MEK Hussey,M Vijay,SK Raina,S Badrinath,DJ Bravo,R Ashwin,MS Dhoni,RA Jadeja,CH Morris,MM Sharma,B Laughlin
110,Chennai Super Kings,2012/04/12,M Vijay,F du Plessis,SK Raina,MS Dhoni,DJ Bravo,JA Morkel,RA Jadeja,S Badrinath,R Ashwin,SB Jakati,DE Bollinger
111,Royal Challengers Bangalore,2012/04/12,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,RR Bhatkal,CA Pujara,DL Vettori,R Vinay Kumar,Z Khan,M Muralitharan
112,Punjab Kings,2022/04/03,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,JM Sharma,M Shahrukh Khan,OF Smith,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
113,Chennai Super Kings,2022/04/03,RV Uthappa,RD Gaikwad,MM Ali,AT Rayudu,RA Jadeja,S Dube,MS Dhoni,DJ Bravo,D Pretorius,CJ Jordan,Mukesh Choudhary
114,Chennai Super Kings,2010/03/25,PA Patel,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JA Morkel,NLTC Perera,Joginder Sharma,L Balaji,M Muralitharan,SB Jakati
115,Mumbai Indians,2010/03/25,S Dhawan,SR Tendulkar,SS Tiwary,R Sathish,KA Pollard,DJ Bravo,R McLaren,AP Tare,Harbhajan Singh,Z Khan,SL Malinga
116,Delhi Capitals,2019/03/26,PP Shaw,S Dhawan,SS Iyer,RR Pant,CA Ingram,KMA Paul,AR Patel,R Tewatia,K Rabada,I Sharma,A Mishra
117,Chennai Super Kings,2019/03/26,SR Watson,AT Rayudu,SK Raina,KM Jadhav,MS Dhoni,DJ Bravo,RA Jadeja,DL Chahar,SN Thakur,Harbhajan Singh,Imran Tahir
118,Deccan Chargers,2012/05/08,DJ Harris,S Dhawan,PA Patel,CL White,KC Sangakkara,PA Reddy,AA Jhunjhunwala,A Ashish Reddy,J Theron,A Mishra,V Pratap Singh
119,Kings XI Punjab,2012/05/08,Mandeep Singh,SE Marsh,N Saini,DJ Hussey,Azhar Mahmood,DA Miller,SD Chitnis,PP Chawla,RR Powar,P Kumar,P Awana
120,Sunrisers Hyderabad,2017/04/19,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,Mohammed Siraj,S Kaul
121,Delhi Daredevils,2017/04/19,SV Samson,SW Billings,KK Nair,RR Pant,SS Iyer,AD Mathews,CH Morris,J Yadav,PJ Cummins,A Mishra,Z Khan
122,Royal Challengers Bangalore,2009/05/14,RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,V Kohli,MV Boucher,RE van der Merwe,B Akhil,P Kumar,R Vinay Kumar,A Kumble
123,Chennai Super Kings,2009/05/14,M Vijay,ML Hayden,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,SB Jakati,L Balaji,M Muralitharan,S Tyagi
124,Rajasthan Royals,2014/04/20,AM Nayar,AM Rahane,SV Samson,SR Watson,STR Binny,SPD Smith,JP Faulkner,R Bhatia,KW Richardson,DS Kulkarni,PV Tambe
125,Kings XI Punjab,2014/04/20,CA Pujara,V Sehwag,WP Saha,GJ Maxwell,DA Miller,GJ Bailey,MG Johnson,M Kartik,AR Patel,P Awana,L Balaji
126,Mumbai Indians,2017/05/16,LMP Simmons,PA Patel,RG Sharma,AT Rayudu,KA Pollard,HH Pandya,KH Pandya,MJ McClenaghan,KV Sharma,JJ Bumrah,SL Malinga
127,Rising Pune Supergiant,2017/05/16,AM Rahane,RA Tripathi,SPD Smith,MK Tiwary,MS Dhoni,DT Christian,Washington Sundar,LH Ferguson,A Zampa,SN Thakur,JD Unadkat
128,Delhi Capitals,2022/05/16,DA Warner,SN Khan,MR Marsh,Lalit Yadav,RR Pant,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed
129,Punjab Kings,2022/05/16,JM Bairstow,S Dhawan,PBB Rajapaksa,LS Livingstone,MA Agarwal,JM Sharma,Harpreet Brar,R Dhawan,RD Chahar,K Rabada,Arshdeep Singh
130,Royal Challengers Bangalore,2010/04/10,S Sriram,JH Kallis,R Dravid,RV Uthappa,LRPL Taylor,CL White,V Kohli,R Vinay Kumar,P Kumar,A Kumble,DW Steyn
131,Kolkata Knight Riders,2010/04/10,SC Ganguly,CH Gayle,BB McCullum,MK Tiwary,AD Mathews,WP Saha,CA Pujara,AB Agarkar,AB Dinda,I Sharma,BAW Mendis
132,Chennai Super Kings,2015/05/22,DR Smith,MEK Hussey,F du Plessis,SK Raina,MS Dhoni,P Negi,DJ Bravo,RA Jadeja,R Ashwin,MM Sharma,A Nehra
133,Royal Challengers Bangalore,2015/05/22,CH Gayle,V Kohli,AB de Villiers,Mandeep Singh,KD Karthik,SN Khan,D Wiese,HV Patel,MA Starc,S Aravind,YS Chahal
134,Kings XI Punjab,2016/04/17,M Vijay,M Vohra,SE Marsh,DA Miller,GJ Maxwell,WP Saha,AR Patel,MM Sharma,KJ Abbott,P Sahu,Sandeep Sharma
135,Rising Pune Supergiants,2016/04/17,AM Rahane,F du Plessis,KP Pietersen,NLTC Perera,SPD Smith,MS Dhoni,IK Pathan,R Ashwin,I Sharma,Ankit Sharma,M Ashwin
136,Punjab Kings,2021/09/28,KL Rahul,Mandeep Singh,CH Gayle,AK Markram,N Pooran,DJ Hooda,Harpreet Brar,NT Ellis,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
137,Mumbai Indians,2021/09/28,RG Sharma,Q de Kock,SA Yadav,SS Tiwary,HH Pandya,KA Pollard,KH Pandya,NM Coulter-Nile,RD Chahar,TA Boult,JJ Bumrah
138,Delhi Daredevils,2017/05/02,SV Samson,KK Nair,RR Pant,SS Iyer,CJ Anderson,CH Morris,AD Mathews,J Yadav,K Rabada,A Mishra,Mohammed Shami
