,Team1,Team2,date,venue,toss_winner,toss_decision,match_winner,year
459,Sunrisers Hyderabad,Kings XI Punjab,2020-10-08,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,2020
595,Delhi Capitals,Rajasthan Royals,2020-10-09,Sharjah Cricket Stadium,Rajasthan Royals,field,Delhi Capitals,2020
249,Royal Challengers Bangalore,Chennai Super Kings,2020-10-10,Dubai International Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,2020
408,Kolkata Knight Riders,Kings XI Punjab,2020-10-10,Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,2020
308,Sunrisers Hyderabad,Rajasthan Royals,2020-10-11,Dubai International Cricket Stadium,Sunrisers Hyderabad,bat,Rajasthan Royals,2020
371,Delhi Capitals,Mumbai Indians,2020-10-11,Sheikh Zayed Stadium,Delhi Capitals,bat,Mumbai Indians,2020
889,Royal Challengers Bangalore,Kolkata Knight Riders,2020-10-12,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,2020
110,Chennai Super Kings,Sunrisers Hyderabad,2020-10-13,Dubai International Cricket Stadium,Chennai Super Kings,bat,Chennai Super Kings,2020
244,Delhi Capitals,Rajasthan Royals,2020-10-14,Dubai International Cricket Stadium,Delhi Capitals,bat,Delhi Capitals,2020
686,Royal Challengers Bangalore,Kings XI Punjab,2020-10-15,Sharjah Cricket Stadium,Royal Challengers Bangalore,bat,Kings XI Punjab,2020
870,Kolkata Knight Riders,Mumbai Indians,2020-10-16,Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Mumbai Indians,2020
918,Rajasthan Royals,Royal Challengers Bangalore,2020-10-17,Dubai International Cricket Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore,2020
422,Chennai Super Kings,Delhi Capitals,2020-10-17,Sharjah Cricket Stadium,Chennai Super Kings,bat,Delhi Capitals,2020
837,Chennai Super Kings,Rajasthan Royals,2020-10-19,Sheikh Zayed Stadium,Chennai Super Kings,bat,Rajasthan Royals,2020
122,Delhi Capitals,Kings XI Punjab,2020-10-20,Dubai International Cricket Stadium,Delhi Capitals,bat,Kings XI Punjab,2020
210,Kolkata Knight Riders,Royal Challengers Bangalore,2020-10-21,Sheikh Zayed Stadium,Kolkata Knight Riders,bat,Royal Challengers Bangalore,2020
343,Rajasthan Royals,Sunrisers Hyderabad,2020-10-22,Dubai International Cricket Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2020
121,Chennai Super Kings,Mumbai Indians,2020-10-23,Sharjah Cricket Stadium,Mumbai Indians,field,Mumbai Indians,2020
699,Kings XI Punjab,Sunrisers Hyderabad,2020-10-24,Dubai International Cricket Stadium,Sunrisers Hyderabad,field,Kings XI Punjab,2020
898,Kolkata Knight Riders,Delhi Capitals,2020-10-24,Sheikh Zayed Stadium,Delhi Capitals,field,Kolkata Knight Riders,2020
860,Royal Challengers Bangalore,Chennai Super Kings,2020-10-25,Dubai International Cricket Stadium,Royal Challengers Bangalore,bat,Chennai Super Kings,2020
779,Mumbai Indians,Rajasthan Royals,2020-10-25,Sheikh Zayed Stadium,Mumbai Indians,bat,Rajasthan Royals,2020
328,Kolkata Knight Riders,Kings XI Punjab,2020-10-26,Sharjah Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,2020
773,Sunrisers Hyderabad,Delhi Capitals,2020-10-27,Dubai International Cricket Stadium,Delhi Capitals,field,Sunrisers Hyderabad,2020
80,Royal Challengers Bangalore,Mumbai Indians,2020-10-28,Sheikh Zayed Stadium,Mumbai Indians,field,Mumbai Indians,2020
171,Kolkata Knight Riders,Chennai Super Kings,2020-10-29,Dubai International Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings,2020
544,Kings XI Punjab,Rajasthan Royals,2020-10-30,Sheikh Zayed Stadium,Rajasthan Royals,field,Rajasthan Royals,2020
928,Royal Challengers Bangalore,Sunrisers Hyderabad,2020-10-31,Sharjah Cricket Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2020
136,Delhi Capitals,Mumbai Indians,2020-10-31,Dubai International Cricket Stadium,Mumbai Indians,field,Mumbai Indians,2020
614,Kolkata Knight Riders,Rajasthan Royals,2020-11-01,Dubai International Cricket Stadium,Rajasthan Royals,field,Kolkata Knight Riders,2020
775,Kings XI Punjab,Chennai Super Kings,2020-11-01,Sheikh Zayed Stadium,Chennai Super Kings,field,Chennai Super Kings,2020
112,Royal Challengers Bangalore,Delhi Capitals,2020-11-02,Sheikh Zayed Stadium,Delhi Capitals,field,Delhi Capitals,2020
252,Mumbai Indians,Sunrisers Hyderabad,2020-11-03,Sharjah Cricket Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2020
864,Mumbai Indians,Delhi Capitals,2020-11-05,Dubai International Cricket Stadium,Delhi Capitals,field,Mumbai Indians,2020
398,Royal Challengers Bangalore,Sunrisers Hyderabad,2020-11-06,Sheikh Zayed Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,2020
44,Delhi Capitals,Sunrisers Hyderabad,2020-11-08,Sheikh Zayed Stadium,Delhi Capitals,bat,Delhi Capitals,2020
675,Delhi Capitals,Mumbai Indians,2020-11-10,Dubai International Cricket Stadium,Delhi Capitals,bat,Mumbai Indians,2020
